"id","money_total","money","money_mean","total_days_count","count_total","count","count_mean","error","date"
"709388803546021960",8421,291,2062,4,73,3,18,0,"2022-08-25 09:21:36"
"923174638698237962",2697,2080,617,1,25,20,5,0,"2022-08-23 05:26:56"
