"id","money_total","money","money_mean","total_days_count","count_total","count","count_mean","error","date"
"709388803546021960",1832,944,888,1,16,10,6,0,"2022-08-22 10:34:07"
"923174638698237962",1986,1369,617,1,16,11,5,0,"2022-08-22 10:52:14"
